year,month,day,hour,dewp_EWR,dewp_JFK,dewp_LGA,humid_EWR,humid_JFK,humid_LGA,wind_dir_EWR,wind_dir_JFK,wind_dir_LGA,wind_speed_EWR,wind_speed_JFK,wind_speed_LGA
2013,1,1,1,26.06,26.06,26.06,59.37,59.37,57.33,270,260,260,10.357019999999999,12.658579999999999,13.809359999999998
2013,1,1,2,26.96,26.06,26.06,61.63,59.37,54.97,250,270,260,8.05546,11.5078,17.261699999999998
2013,1,1,3,28.04,26.96,26.06,64.43,59.5,54.97,240,260,260,11.5078,14.960139999999999,16.11092
2013,1,1,4,28.04,28.04,26.06,62.21,62.21,54.97,250,250,260,12.658579999999999,17.261699999999998,17.261699999999998
2013,1,1,5,28.04,26.96,24.98,64.43,61.63,54.81,260,260,250,12.658579999999999,14.960139999999999,14.960139999999999
2013,1,1,6,28.04,26.96,24.98,67.21,64.29,54.81,240,260,260,11.5078,13.809359999999998,16.11092
2013,1,1,7,28.04,28.04,26.06,64.43,64.43,57.33,240,260,250,14.960139999999999,13.809359999999998,14.960139999999999
2013,1,1,8,28.04,26.96,26.06,62.21,59.5,57.33,250,260,250,10.357019999999999,17.261699999999998,14.960139999999999
2013,1,1,9,28.04,26.96,26.06,62.21,59.5,57.33,260,260,260,14.960139999999999,16.11092,18.41248
2013,1,1,10,28.04,28.04,26.06,59.65,59.65,57.33,260,260,270,13.809359999999998,16.11092,12.658579999999999
2013,1,1,11,26.96,26.96,26.06,57.06,57.06,57.33,260,270,290,14.960139999999999,14.960139999999999,16.11092
2013,1,1,13,28.4,26.6,24.98,69.67,64.7,59.22,330,340,310,16.11092,14.960139999999999,16.11092
2013,1,1,14,24.08,24.08,24.08,54.68,54.68,54.68,280,310,300,13.809359999999998,11.5078,9.20624
2013,1,1,15,24.08,23,21.92,57.04,52.26,49.93,290,290,310,9.20624,12.658579999999999,12.658579999999999
2013,1,1,16,19.94,17.96,21.02,49.62,44,50.14,300,320,330,13.809359999999998,17.261699999999998,11.5078
2013,1,1,17,19.04,17.06,17.06,49.83,43.85,45.76,330,330,300,11.5078,16.11092,18.41248
2013,1,1,18,15.08,14,15.98,45.43,41.51,47.25,310,310,320,12.658579999999999,14.960139999999999,14.960139999999999
2013,1,1,19,12.92,14,14,42.84,44.92,44.92,320,350,330,10.357019999999999,13.809359999999998,13.809359999999998
2013,1,1,20,15.08,14,15.08,49.19,46.92,49.19,310,330,330,14.960139999999999,16.11092,12.658579999999999
2013,1,1,21,12.92,10.94,14,48.48,44.41,50.84,320,330,320,18.41248,21.864819999999998,16.11092
2013,1,1,22,12.02,10.94,12.02,48.69,46.41,48.69,320,320,310,18.41248,16.11092,24.166379999999997
2013,1,1,23,10.94,8.06,12.02,48.15,44.25,50.52,310,320,310,16.11092,20.714039999999997,14.960139999999999
2013,1,2,0,10.94,8.06,10.94,50.34,45.93,50.34,310,320,320,14.960139999999999,18.41248,16.11092
2013,1,2,1,10.94,8.06,12.92,52.25,45.93,54.95,330,330,310,12.658579999999999,19.56326,17.261699999999998
2013,1,2,2,10.94,8.06,12.02,54.65,48.03,54.82,330,310,330,13.809359999999998,18.41248,16.11092
2013,1,2,3,8.96,8.06,10.04,51.93,48.03,52.5,320,320,320,14.960139999999999,17.261699999999998,13.809359999999998
2013,1,2,4,8.96,8.06,10.04,51.93,49.87,54.51,330,330,330,12.658579999999999,17.261699999999998,9.20624
2013,1,2,5,8.96,8.96,10.04,51.93,54.34,54.51,330,350,350,6.904679999999999,11.5078,10.357019999999999
2013,1,2,6,8.96,8.96,10.04,51.93,54.34,54.51,310,340,320,3.4523399999999995,9.20624,6.904679999999999
2013,1,2,7,10.04,8.96,8.96,52.5,54.34,51.93,300,340,330,6.904679999999999,10.357019999999999,8.05546
2013,1,2,8,10.04,8.06,10.04,52.5,48.03,52.5,280,320,310,9.20624,12.658579999999999,13.809359999999998
2013,1,2,9,10.04,8.06,10.04,48.36,44.25,48.36,290,310,300,11.5078,12.658579999999999,12.658579999999999
2013,1,2,10,10.94,8.96,10.94,46.41,42.48,48.15,280,300,320,9.20624,13.809359999999998,11.5078
2013,1,2,11,12.02,10.04,12.02,44.92,42.66,48.69,300,300,300,14.960139999999999,20.714039999999997,12.658579999999999
2013,1,2,12,12.92,10.04,12.92,44.74,41.13,46.74,290,310,310,12.658579999999999,14.960139999999999,18.41248
2013,1,2,13,12.92,10.94,12.92,41.33,39.25,44.74,290,310,310,16.11092,16.11092,14.960139999999999
2013,1,2,14,10.94,10.94,14,37.86,36.26,43.33,310,300,330,17.261699999999998,13.809359999999998,17.261699999999998
2013,1,2,15,12.02,10.04,12.92,39.72,36.37,42.84,310,320,310,13.809359999999998,19.56326,18.41248
2013,1,2,16,12.92,10.94,15.08,44.74,40.99,47.1,310,310,310,6.904679999999999,16.11092,14.960139999999999
2013,1,2,17,12.92,10.94,14,44.74,40.99,46.92,290,300,300,12.658579999999999,11.5078,16.11092
2013,1,2,18,12.92,12.02,14,46.74,44.92,46.92,300,310,310,11.5078,13.809359999999998,14.960139999999999
2013,1,2,19,14,12.92,14,49.01,46.74,49.01,290,300,310,6.904679999999999,10.357019999999999,12.658579999999999
2013,1,2,20,14,12.92,14,50.84,46.74,49.01,280,300,310,9.20624,8.05546,9.20624
2013,1,2,21,14,14,15.98,50.84,49.01,53.44,270,310,300,5.7539,13.809359999999998,14.960139999999999
2013,1,2,22,15.08,14,15.98,55.69,50.84,53.44,270,300,320,8.05546,12.658579999999999,12.658579999999999
2013,1,2,23,15.08,14,15.98,55.69,50.84,55.42,280,310,300,9.20624,14.960139999999999,13.809359999999998
2013,1,3,0,15.08,15.08,17.96,57.79,55.69,60.38,290,320,310,8.05546,16.11092,14.960139999999999
2013,1,3,1,15.08,14,17.06,57.79,53.13,58.08,280,310,320,10.357019999999999,16.11092,11.5078
2013,1,3,2,15.08,14,17.06,60.41,53.13,60.69,270,310,320,8.05546,12.658579999999999,14.960139999999999
2013,1,3,3,15.08,15.08,15.98,60.41,60.41,57.92,280,320,330,6.904679999999999,9.20624,13.809359999999998
2013,1,3,4,15.08,15.08,15.98,62.7,60.41,60.1,290,330,340,5.7539,12.658579999999999,11.5078
2013,1,3,5,15.08,15.08,15.08,62.7,60.41,60.41,290,340,330,5.7539,9.20624,8.05546
2013,1,3,6,15.98,14,15.08,65.21,59.81,62.7,310,340,330,6.904679999999999,12.658579999999999,12.658579999999999
2013,1,3,7,15.98,14,15.08,65.21,59.81,62.7,320,330,330,5.7539,6.904679999999999,10.357019999999999
2013,1,3,8,17.06,14,15.08,65.84,55.12,62.7,310,310,330,5.7539,10.357019999999999,9.20624
2013,1,3,9,17.06,14,15.08,62.97,53.13,62.7,290,300,330,5.7539,10.357019999999999,8.05546
2013,1,3,10,15.08,15.08,15.08,51.38,51.38,60.41,290,320,310,9.20624,8.05546,9.20624
2013,1,3,11,14,12.02,14,49.01,46.59,53.13,NA,300,320,4.60312,10.357019999999999,5.7539
2013,1,3,12,12.92,12.92,12.92,42.84,42.84,46.74,260,280,270,8.05546,12.658579999999999,6.904679999999999
2013,1,3,13,12.92,12.92,12.02,41.33,42.84,43,260,250,250,9.20624,11.5078,10.357019999999999
2013,1,3,14,12.92,12.02,12.02,41.33,41.17,41.17,240,270,NA,8.05546,5.7539,5.7539
2013,1,3,15,14,12.92,12.02,44.92,44.74,41.17,250,250,260,11.5078,8.05546,10.357019999999999
2013,1,3,16,14,15.08,12.92,46.92,51.38,42.84,270,260,260,10.357019999999999,10.357019999999999,13.809359999999998
2013,1,3,17,15.08,15.08,14,53.29,51.38,46.92,240,250,250,9.20624,13.809359999999998,10.357019999999999
2013,1,3,18,15.08,15.08,14,51.38,51.38,46.92,240,250,220,10.357019999999999,14.960139999999999,12.658579999999999
2013,1,3,19,15.08,15.08,14,51.38,49.19,44.92,230,250,260,11.5078,13.809359999999998,11.5078
